id,Name,Year,IMDB Rating,Metascore,Number of Votes
3360,Ant-Man,(2015),7.3,64,403735
3361,The Hateful Eight,(2015),7.8,68,375756
3362,Spectre,(I) (2015),6.8,60,326002
3363,Furious 7,(2015),7.2,67,314864
3364,Spotlight,(I) (2015),8.1,93,303079
3365,Sicario,(2015),7.6,82,271145
3366,The Big Short,(2015),7.8,81,271139
3367,Mission: Impossible - Rogue Nation,(2015),7.4,75,270984
3368,Room,(I) (2015),8.2,86,255694
3369,Fifty Shades of Grey,(2015),4.1,46,254744
3370,Bridge of Spies,(2015),7.6,81,235720
3371,The Hunger Games: Mockingjay - Part 2,(2015),6.6,65,220850
3372,The Man from U.N.C.L.E.,(2015),7.3,56,218095
3373,Terminator Genisys,(2015),6.5,38,216902
3374,Chappie,(2015),6.8,41,199155
3375,Spy,(2015),7.0,75,197994
3376,Creed,(2015),7.6,82,188229
3377,Insurgent,(2015),6.3,42,182212
3378,Southpaw,(2015),7.4,57,181585
3379,Focus,(II) (2015),6.6,56,176190
3380,Minions,(2015),6.4,56,174034
3381,The Intern,(I) (2015),7.1,51,171950
3382,Maze Runner: The Scorch Trials,(2015),6.3,43,171841
3383,San Andreas,(2015),6.1,43,171255
3384,Everest,(2015),7.1,64,165359
3385,Jupiter Ascending,(2015),5.3,40,155983
3386,Straight Outta Compton,(2015),7.9,72,151063
3387,Tomorrowland,(2015),6.5,60,150448
3388,Ted 2,(2015),6.3,48,147367
3389,Black Mass,(2015),6.9,68,144100
3390,The Lobster,(2015),7.1,82,141698
3391,Fantastic Four,(2015),4.3,27,128543
3392,Steve Jobs,(2015),7.2,82,125782
3393,Cinderella,(I) (2015),7.0,67,125638
3394,The Danish Girl,(2015),7.1,66,123156
3395,The Age of Adaline,(2015),7.2,51,122836
3396,Legend,(I) (2015),7.0,55,120374
3397,The Witch,(2015),6.8,83,118009
3398,Pitch Perfect 2,(2015),6.4,63,116722
3399,Trainwreck,(2015),6.2,75,112617
3400,Pixels,(2015),5.6,27,108666
3401,The Gift,(VI) (2015),7.1,77,106853
3402,Crimson Peak,(2015),6.5,66,106690
3403,Joy,(I) (2015),6.6,56,105776
3404,Brooklyn,(2015),7.5,87,102693
3405,Get Hard,(2015),6.0,34,101018
3406,Me and Earl and the Dying Girl,(2015),7.8,74,100361
3407,The Walk,(II) (2015),7.3,70,100018
3408,In the Heart of the Sea,(2015),6.9,47,97752
3409,The Visit,(I) (2015),6.2,55,90186
3410,Run All Night,(2015),6.6,59,86992
3411,Carol,(2015),7.2,95,85862
3412,Burnt,(I) (2015),6.6,42,83922
3413,The Good Dinosaur,(2015),6.7,66,83105
3414,Home,(II) (2015),6.7,55,80731
3415,Daddy's Home,(2015),6.1,42,80271
3416,Vacation,(I) (2015),6.1,34,79387
3417,Paper Towns,(2015),6.3,56,78784
3418,The Last Witch Hunter,(2015),6.0,34,77208
3419,Hotel Transylvania 2,(2015),6.7,44,76233
3420,Hitman: Agent 47,(2015),5.7,28,74688
3421,Green Room,(2015),7.0,79,73266
3422,Self/less,(2015),6.5,34,72660
3423,Dope,(2015),7.2,72,71204
3424,Insidious: Chapter 3,(2015),6.1,52,70396
3425,American Ultra,(2015),6.1,50,69509
3426,Concussion,(2015),7.1,55,67742
3427,Entourage,(2015),6.6,38,67381
3428,Demolition,(2015),7.0,49,67361
3429,Hardcore Henry,(2015),6.7,51,67303
3430,Project Almanac,(2015),6.4,47,66433
3431,Eye in the Sky,(2015),7.3,73,64006
3432,No Escape,(I) (2015),6.8,38,62985
3433,The Longest Ride,(2015),7.1,33,62960
3434,Trumbo,(2015),7.5,60,62611
3435,The DUFF,(2015),6.5,56,62540
3436,Goosebumps,(2015),6.3,60,62304
3437,The Wedding Ringer,(2015),6.7,35,61806
3438,Knock Knock,(I) (2015),4.9,53,59772
3439,Youth,(I) (2015),7.3,64,57548
3440,Mortdecai,(2015),5.5,27,55385
3441,Beasts of No Nation,(2015),7.8,79,54871
3442,Bone Tomahawk,(2015),7.1,72,54468
3443,Sisters,(III) (2015),6.0,58,53717
3444,Mr. Holmes,(2015),6.9,67,53056
3445,Child 44,(2015),6.5,41,52259
3446,The Night Before,(II) (2015),6.4,58,51541
3447,Pan,(2015),5.8,36,51115
3448,The Invitation,(I) (2015),6.7,74,50938
3449,Anomalisa,(2015),7.2,88,49726
3450,Point Break,(2015),5.3,34,48409
3451,Krampus,(I) (2015),6.2,49,48283
3452,Poltergeist,(2015),4.9,47,48261
3453,Aloha,(I) (2015),5.4,40,47891
3454,True Story,(I) (2015),6.3,50,45375
3455,Blackhat,(2015),5.4,51,45185
3456,Macbeth,(2015),6.7,71,44871
3457,Magic Mike XXL,(2015),5.6,60,44852
3458,Irrational Man,(2015),6.6,53,44684
3459,The Little Prince,(2015),7.8,70,43498
3460,Woman in Gold,(2015),7.3,51,43443
3461,Wild Card,(2015),5.6,40,42350
3462,Victor Frankenstein,(2015),6.0,36,42077
3463,Hot Pursuit,(2015),5.1,31,41311
3464,Solace,(II) (2015),6.4,36,41231
3465,Man Up,(I) (2015),6.8,69,39837
3466,The SpongeBob Movie: Sponge Out of Water,(2015),6.0,62,39443
3467,Amy,(III) (2015),7.8,85,39103
3468,The Dressmaker,(I) (2015),7.1,47,38854
3469,Victoria,(II) (2015),7.7,77,38477
3470,Far from the Madding Crowd,(2015),7.1,71,37164
3471,Maggie,(I) (2015),5.6,52,35983
3472,The Peanuts Movie,(2015),7.1,67,35941
3473,The Man Who Knew Infinity,(2015),7.2,56,35782
3474,Sinister 2,(2015),5.3,32,35437
3475,Scouts Guide to the Zombie Apocalypse,(2015),6.3,32,35427
3476,The Colony,(2015),7.1,33,35099
3477,Mr. Right,(I) (2015),6.3,52,35023
3478,Dark Places,(2015),6.2,39,34166
3479,Slow West,(2015),6.9,72,34090
3480,Son of Saul,(2015),7.5,89,33734
3481,The Ridiculous 6,(2015),4.8,18,33514
3482,The Lazarus Effect,(2015),5.2,31,33420
3483,The Transporter Refueled,(2015),5.2,32,33189
3484,The Gunman,(2015),5.8,39,33023
3485,Ip Man 3,(2015),7.1,57,32964
3486,Last Knights,(2015),6.2,27,32371
3487,Hot Tub Time Machine 2,(2015),5.1,29,32176
3488,The Boy Next Door,(2015),4.7,30,31800
3489,Sleeping with Other People,(2015),6.5,64,31160
3490,Secret in Their Eyes,(2015),6.2,45,30710
3491,Going Clear: Scientology & the Prison of Belief,(2015),8.1,80,30650
3492,Absolutely Anything,(2015),6.0,31,29944
3493,A Man Called Ove,(2015),7.7,70,29580
3494,High-Rise,(2015),5.6,65,29404
3495,Suffragette,(2015),6.9,67,29310
3496,Shaun the Sheep Movie,(2015),7.4,81,29114
3497,Regression,(I) (2015),5.7,32,29035
3498,The 33,(2015),6.9,55,28809
3499,We Are Your Friends,(2015),6.2,46,28616
3500,"McFarland, USA",(2015),7.4,60,28464
3501,Paul Blart: Mall Cop 2,(2015),4.4,13,27853
3502,Love,(II) (2015),6.0,51,27586
3503,The Second Best Exotic Marigold Hotel,(2015),6.6,51,26511
3504,Unfinished Business,(I) (2015),5.4,32,26435
3505,Mustang,(2015),7.6,83,26360
3506,The Final Girls,(2015),6.6,59,26065
3507,Deadpool,(2016),8.0,65,693246
3508,Batman v Superman: Dawn of Justice,(2016),6.6,44,517474
3509,Captain America: Civil War,(2016),7.8,75,463784
3510,Suicide Squad,(2016),6.1,40,459186
3511,Arrival,(II) (2016),8.0,81,423295
3512,Rogue One: A Star Wars Story,(2016),7.8,65,402585
3513,Doctor Strange,(2016),7.5,72,378110
3514,La La Land,(I) (2016),8.1,93,340504
3515,Zootopia,(2016),8.0,78,330534
3516,X-Men: Apocalypse,(2016),7.0,52,307291
3517,Hacksaw Ridge,(2016),8.2,71,291313
3518,Fantastic Beasts and Where to Find Them,(2016),7.4,66,288093
3519,Passengers,(I) (2016),7.0,41,257923
3520,Split,(IX) (2016),7.3,62,242786
3521,10 Cloverfield Lane,(2016),7.2,76,219483
3522,The Jungle Book,(2016),7.5,77,217042
3523,The Nice Guys,(2016),7.4,70,204323
3524,Warcraft: The Beginning,(2016),6.9,32,203381
3525,The Accountant,(2016),7.4,51,202144
3526,Star Trek: Beyond,(2016),7.1,68,187136
3527,Finding Dory,(2016),7.4,77,182490
3528,Now You See Me 2,(2016),6.5,46,180986
3529,Moonlight,,7.5,99,177032
3530,Manchester by the Sea,(2016),7.9,96,174666
3531,Moana,(I) (2016),7.6,81,174409
3532,Jason Bourne,(2016),6.6,58,169686
3533,Sully,(2016),7.5,74,168720
3534,Nocturnal Animals,(2016),7.5,67,166510
3535,Ghostbusters,(2016),5.3,60,162616
3536,The Conjuring 2,(2016),7.4,65,159395
3537,The Promise,(II) (2016),6.0,49,159052
3538,Don't Breathe,(2016),7.1,71,149948
3539,Lion,(2016),8.1,69,148129
3540,The Magnificent Seven,(2016),6.9,54,146512
3541,Assassin's Creed,(2016),5.8,36,145227
3542,Hell or High Water,(II) (2016),7.6,88,143011
3543,Independence Day: Resurgence,(2016),5.2,32,141176
3544,The Secret Life of Pets,(2016),6.5,61,139827
3545,Sausage Party,(2016),6.2,66,139037
3546,Me Before You,(2016),7.4,51,136476
3547,Hidden Figures,(2016),7.8,74,136256
3548,The Legend of Tarzan,(2016),6.3,44,133384
3549,War Dogs,(2016),7.1,57,130728
3550,Captain Fantastic,(2016),7.9,72,130689
3551,The Girl on the Train,(2016),6.5,48,124847
3552,Miss Peregrine's Home for Peculiar Children,(2016),6.7,57,123074
3553,Inferno,(I) (2016),6.2,42,117758
3554,Deepwater Horizon,(2016),7.2,68,112939
3555,Central Intelligence,(2016),6.3,52,111523
3556,London Has Fallen,(2016),5.9,28,110211
3557,Allied,(2016),7.1,60,103989
3558,Snowden,(2016),7.3,58,99021
3559,Kung Fu Panda 3,(2016),7.1,66,98969
3560,"Hail, Caesar!",(2016),6.3,72,98093
3561,Jack Reacher: Never Go Back,(2016),6.1,47,98078
3562,The Great Wall,(I) (2016),6.0,42,92156
3563,Sing,(2016),7.1,59,91524
3564,The Shallows,(2016),6.3,59,90653
3565,Kubo and the Two Strings,(2016),7.8,84,87713
3566,Neighbors 2: Sorority Rising,(2016),5.7,58,87121
3567,13 Hours,(2016),7.3,48,87104
3568,Dirty Grandpa,(2016),5.9,21,86660
3569,Nerve,(I) (2016),6.6,58,86096
3570,Lights Out,(II) (2016),6.3,58,85198
3571,Bad Moms,(2016),6.2,60,84431
3572,Gods of Egypt,(2016),5.4,25,81863
3573,Train to Busan,(2016),7.5,72,80775
3574,Allegiant,(2016),5.7,33,80267
3575,The 5th Wave,(2016),5.2,33,79905
3576,Money Monster,(2016),6.5,55,75558
3577,Swiss Army Man,(2016),7.0,64,74877
3578,The Huntsman: Winter's War,(2016),6.1,35,74865
3579,Why Him?,(2016),6.2,39,74354
3580,The Founder,(2016),7.2,66,73250
3581,Your Name,(2016),8.5,79,72646
3582,The Brothers Grimsby,(2016),6.2,44,70210
3583,Silence,(I) (2016),7.2,79,69468
3584,Fences,(2016),7.2,79,69329
3585,Hunt for the Wilderpeople,(2016),7.9,81,67648
3586,Teenage Mutant Ninja Turtles: Out of the Shadows,(2016),6.0,40,67593
3587,Alice Through the Looking Glass,(2016),6.2,34,66547
3588,The Edge of Seventeen,(2016),7.4,77,66132
3589,How to Be Single,(2016),6.1,51,65568
3590,Mike and Dave Need Wedding Dates,(2016),6.0,51,64603
3591,Collateral Beauty,(2016),6.8,23,64059
3592,Eddie the Eagle,(2016),7.4,54,63478
3593,The Purge: Election Year,(2016),6.0,55,63414
3594,Sing Street,(2016),8.0,79,63128
3595,Resident Evil: The Final Chapter,(2016),5.6,49,63056
3596,The Angry Birds Movie,(2016),6.3,43,61701
3597,Midnight Special,(2016),6.7,76,60689
3598,The Neon Demon,(2016),6.2,51,60432
3599,The BFG,(2016),6.4,66,59495
3600,Patriots Day,(2016),7.4,69,58455
3601,The Boy,(2016),6.0,42,58028
3602,Hush,(I) (2016),6.6,67,57857
3603,Mechanic: Resurrection,(2016),5.7,38,56906
3604,A Monster Calls,(2016),7.5,76,56536
3605,Jackie,(V) (2016),6.7,81,55593
3606,The Autopsy of Jane Doe,(2016),6.8,65,55517
3607,Underworld: Blood Wars,(2016),5.8,23,53714
3608,Café Society,(2016),6.6,64,53656
3609,Trolls,(2016),6.5,56,53484
3610,Triple 9,(2016),6.3,52,53432
3611,The Infiltrator,(2016),7.0,66,53402
3612,Zoolander 2,(2016),4.7,34,53274
3613,A Cure for Wellness,(2016),6.4,47,53149
3614,The Handmaiden,(2016),8.1,84,51983
3615,Bridget Jones's Baby,(2016),6.6,59,51045
3616,The Finest Hours,(2016),6.8,58,49703
3617,The Lost City of Z,(2016),6.6,78,49007
3618,Blood Father,(2016),6.4,66,46066
3619,Office Christmas Party,(2016),5.8,42,45829
3620,Elle,(I) (2016),7.2,89,45285
3621,Criminal,(2016),6.3,36,44579
3622,Storks,(2016),6.8,56,43451
3623,Keeping Up with the Joneses,(2016),5.9,34,43442
3624,Pete's Dragon,(2016),6.7,71,43161
3625,Paterson,(2016),7.4,90,42111
3626,Ride Along 2,(2016),5.9,32,42110
3627,Everybody Wants Some!!,(2016),7.0,83,42074
3628,Whiskey Tango Foxtrot,(2016),6.6,57,40754
3629,Ice Age: Collision Course,(2016),5.7,34,40607
3630,Pride and Prejudice and Zombies,(2016),5.8,45,39158
3631,Gold,(I) (2016),6.7,49,39139
3632,Live by Night,(2016),6.4,49,38903
3633,Ouija: Origin of Evil,(2016),6.1,65,38382
3634,The Fundamentals of Caring,(2016),7.3,55,38201
3635,Florence Foster Jenkins,(2016),6.9,71,38003
3636,Popstar: Never Stop Never Stopping,(2016),6.7,68,37495
3637,Colossal,(2016),6.2,70,37349
3638,Masterminds,(I) (2016),5.8,47,37256
3639,Free State of Jones,(2016),6.9,53,36796
3640,The Girl with All the Gifts,(2016),6.7,67,36323
3641,The Light Between Oceans,(2016),7.2,60,36063
3642,Keanu,(2016),6.3,63,35895
3643,"I, Daniel Blake",(2016),7.9,78,34618
3644,Miss Sloane,(2016),7.5,64,34613
3645,Ben-Hur,(2016),5.7,38,33487
3646,The Boss,(2016),5.4,40,32759
3647,Imperium,(2016),6.5,68,32425
3648,The Forest,(I) (2016),4.8,34,31931
3649,Toni Erdmann,(2016),7.5,93,31854
3650,Raw,(II) (2016),7.0,81,31848
3651,Blair Witch,(2016),5.0,47,31589
3652,The Salesman,(2016),7.9,85,31372
3653,Anthropoid,(2016),7.2,59,31343
3654,A Hologram for the King,(2016),6.1,58,30755
3655,Morgan,(2016),5.8,48,29339
3656,The Do-Over,(2016),5.7,22,27849
3657,The Belko Experiment,(2016),6.1,44,27603
3658,Free Fire,(2016),6.4,63,27117
3659,Race,(I) (2016),7.1,56,27051
3660,The Take,(2016),6.3,48,25267
3661,American Honey,(2016),7.0,79,25264
3662,The Choice,(I) (2016),6.6,26,24494
3663,The Wailing,(2016),7.5,81,24494
3664,20th Century Women,(2016),7.4,83,24012
3665,Mother's Day,(I) (2016),5.6,18,23821
3666,Logan,(2017),8.1,77,435214
3667,Wonder Woman,(2017),7.6,76,361271
3668,Guardians of the Galaxy Vol. 2,(2017),7.8,67,326636
3669,Dunkirk,(2017),8.1,94,317765
3670,Star Wars: The Last Jedi,(2017),7.5,85,289699
3671,Spider-Man: Homecoming,(2017),7.5,73,266948
3672,Baby Driver,(2017),7.7,86,250352
3673,Get Out,(I) (2017),7.7,84,231430
3674,It,(I) (2017),7.6,69,226595
3675,John Wick: Chapter 2,(2017),7.5,75,209580
3676,Blade Runner 2049,(2017),8.3,81,209041
3677,Beauty and the Beast,(2017),7.3,65,192658
3678,Kong: Skull Island,(2017),6.7,62,186461
3679,Thor: Ragnarok,(2017),8.1,74,186443
3680,Alien: Covenant,(2017),6.5,65,181991
3681,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.7,39,173037
3682,Justice League,(2017),7.0,45,171996
3683,The Fate of the Furious,(2017),6.8,56,149436
3684,War for the Planet of the Apes,(2017),7.5,82,148813
3685,Life,(I) (2017),6.6,54,143847
3686,Kingsman: The Golden Circle,(2017),6.9,44,139122
3687,Ghost in the Shell,(2017),6.4,52,138729
3688,King Arthur: Legend of the Sword,(2017),6.8,41,132989
3689,The Mummy,(2017),5.5,34,118829
3690,The Hitman's Bodyguard,(2017),7.0,47,107760
3691,Atomic Blonde,(2017),6.8,63,98780
3692,Valerian and the City of a Thousand Planets,(2017),6.5,51,94274
3693,Bright,(I) (2017),6.5,29,93876
3694,The LEGO Batman Movie,(2017),7.3,75,91534
3695,Wind River,(2017),7.8,73,88936
3696,Mother!,(2017),6.8,75,87350
3697,Transformers: The Last Knight,(2017),5.2,27,87247
3698,Baywatch,(2017),5.6,37,86728
3699,The Dark Tower,(2017),5.7,34,76104
3700,Power Rangers,(2017),6.0,44,74584
3701,T2 Trainspotting,(2017),7.3,67,74017
3702,American Made,(2017),7.2,65,72419
3703,The Boss Baby,(2017),6.4,50,67578
3704,Murder on the Orient Express,(2017),6.7,52,65778
3705,xXx: Return of Xander Cage,(2017),5.2,42,65284
3706,The Big Sick,(2017),7.7,86,63445
3707,Coco,(I) (2017),8.7,81,63197
3708,Despicable Me 3,(2017),6.3,49,62873
3709,Fifty Shades Darker,(2017),4.6,33,62702
3710,Annabelle: Creation,(2017),6.6,62,61751
3711,Logan Lucky,(2017),7.1,78,58679
3712,Gifted,(2017),7.6,60,56586
3713,The Circle,(I) (2017),5.3,43,53553
3714,Death Note,(2017),4.6,43,53068
3715,Okja,(2017),7.4,75,52535
3716,Jumanji: Welcome to the Jungle,(2017),7.2,58,51550
3717,Going in Style,(2017),6.6,50,48858
3718,What Happened to Monday,(2017),6.9,47,47677
3719,It Comes at Night,(2017),6.2,78,46003
3720,The Greatest Showman,(2017),8.0,48,45377
3721,"Three Billboards Outside Ebbing, Missouri",(2017),8.3,88,45254
3722,The Foreigner,(2017),7.1,55,40889
3723,A Dog's Purpose,(2017),6.9,43,40110
3724,Shot Caller,(2017),7.4,59,37309
3725,Cars 3,(2017),6.8,59,36192
3726,Happy Death Day,(2017),6.5,57,35844
3727,Gerald's Game,(2017),6.7,77,35190
3728,American Assassin,(2017),6.2,45,34657
3729,The Disaster Artist,(2017),7.9,76,33347
3730,Geostorm,(2017),5.4,21,33101
3731,The Emoji Movie,(2017),2.9,12,32575
3732,The Killing of a Sacred Deer,(2017),7.3,73,32354
3733,Lady Bird,(2017),8.0,94,30727
3734,The Space Between Us,(I) (2017),6.4,33,30422
3735,The Shape of Water,(2017),8.0,86,28395
3736,The Beguiled,(2017),6.4,77,28205
3737,Rings,(2017),4.5,25,27825
3738,Before I Fall,(2017),6.4,58,27125
3739,War Machine,(2017),6.0,56,26992
3740,The Mountain Between Us,(2017),6.4,48,26731
3741,Call Me by Your Name,(2017),8.4,93,26582
3742,Fist Fight,(2017),5.6,37,26548
3743,Rough Night,(2017),5.2,51,26344
3744,CHIPS,(2017),6.0,28,26301
3745,A Ghost Story,(2017),6.9,84,26164
3746,47 Meters Down,(2017),5.7,52,24779
3747,I Don't Feel at Home in This World Anymore.,(2017),7.0,75,23899
3748,Jigsaw,(I) (2017),6.0,39,23379
3749,Good Time,(2017),7.4,80,23303
3750,The Snowman,(2017),5.2,23,23238
3751,To the Bone,(I) (2017),6.9,64,23111
3752,Wonder,(I) (2017),8.1,66,22320
3753,Detroit,(2017),7.4,77,21965
3754,Snatched,(I) (2017),4.3,45,21136
3755,The Zookeeper's Wife,(2017),7.0,57,20974
3756,Kidnap,(2017),5.9,44,20941
3757,The Ottoman Lieutenant,(2017),6.9,26,19877
3758,Brawl in Cell Block 99,(2017),7.2,79,19835
3759,Sleepless,(III) (2017),5.6,34,19673
3760,Battle of the Sexes,(2017),6.8,73,19529
3761,Jungle,(I) (2017),6.7,48,19354
3762,The Shack,(I) (2017),6.3,32,19224
3763,The Discovery,(I) (2017),6.3,55,18782
3764,The House,(I) (2017),5.6,30,18652
3765,The Meyerowitz Stories (New and Selected),(2017),7.0,79,18061
3766,1922,(2017),6.3,70,17928
3767,Girls Trip,(2017),6.3,71,17005
3768,Flatliners,(2017),5.1,27,16336
3769,"Everything, Everything",(2017),6.4,52,15765
3770,"I, Tonya",(2017),7.7,77,15336
3771,Stronger,(I) (2017),7.1,76,15064
3772,Captain Underpants: The First Epic Movie,(2017),6.2,69,15046
3773,Table 19,(2017),5.8,40,14945
3774,The Wall,(II) (2017),6.2,57,14632
3775,Molly's Game,(2017),7.7,71,14192
3776,Darkest Hour,(2017),7.4,75,13942
3777,Unlocked,(I) (2017),6.2,46,13761
3778,Loving Vincent,(2017),7.9,62,13574
3779,All Eyez on Me,(2017),5.8,38,13015
3780,The Square,(2017),7.7,72,12960
3781,Berlin Syndrome,(2017),6.3,70,12885
3782,Aftermath,(IV) (2017),5.7,44,12795
3783,iBoy,(2017),6.0,50,12641
3784,Ingrid Goes West,(2017),6.7,71,12630
3785,The Bye Bye Man,(2017),4.3,37,12425
3786,Megan Leavey,(2017),7.1,66,12228
3787,The Florida Project,(2017),7.9,92,12194
3788,Smurfs: The Lost Village,(2017),5.9,40,11767
3789,Mudbound,(2017),7.5,85,11542
3790,Victoria & Abdul,(2017),6.8,58,11465
3791,The Glass Castle,(2017),7.2,56,11303
3792,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",(2017),7.8,77,11111
3793,Song to Song,(2017),5.8,54,11091
3794,Home Again,(2017),5.7,41,10885
3795,Daddy's Home 2,(2017),6.2,30,10855
